LOCATION,BOB_2017_COM,BOB_2017_RES,BOB_2021_COM,BOB_2021_RES,% DIFFERENCE,Derived from,Remarks
BOD area (LAP-II),210,180,356,,69.52%,FIAB,Commercial 
BPC Colony (LAP-I) ,347,250,346.17,,-0.10%,FIAB,Commercial 
Bus station area (LAP-I)  BoB location,525,250,730,,39.05%,FIAB,Commercial 
Dungkhag Office (LAP-I) ,473,250,375.5,,-20.53%,FIAB,Commercial 
Fishery Area (LAP-I) ,231,250,461.65,,99.85%,PAVA,Commercial 
Gelephu Pri School (LAP-I) ,347,250,337.83,,-2.50%,FIAB,Commercial 
Gelephu High School ( LAP-II) ,210,100,300,,42.86%,FIAB,Commercial 
Hongkong Market area (LAP-I) ,347,250,346.17,,-0.10%,FIAB,Commercial 
Hospital area (LAP-I) ,347,250,346.17,,-0.10%,FIAB,Commercial 
Kuendrup High School area (LAP-I),231,170,231.67,,0.29%,FIAB,Commercial 
Malaria Office area (LAP-I) ,231,170,231.67,,0.29%,FIAB,Commercial 
Match Factory area (LAP-II) ,250,,499.63,,99.85%,PAVA,Commercial 
Nimalung Dratshang area (LAP-II) ,158,100,314.76,,99.85%,PAVA,Commercial 
Pelrithang (Extended municipal area),81,55,133.5,,65.12%,FIAB,Commercial 
Pemathang area (LAP-I),150,80,150,,-0.10%,FIAB,Commercial 
RBA camp area (LAP-I) ,347,180,356,,2.74%,FIAB,Commercial 
Zomlingthang     ,80,35,101.67,,27.09%,FIAB,Commercial 
Sarpang(present town area), No town (flood) ,,,,,,Commercial 
Jigme Choling ,,,52.5,,Previous rates not available,FIAB,Commercial 
Ranibagan(Omchugang),105,,119.29,,13.61%,FIAB,Commercial 
Gakiling (Npdc&Gup Office Area),77,69,84.98,,10.36%,PAVA,Commercial 
Bazar Area (Buta Bari &Bod Area), -   ,23,,25.38,10.36%,PAVA,Residential
Sarpangtar(Municipilaty Area) ,105,92,199.29,,89.80%,FIAB,Commercial 
Panthreygaou(Shompangkha), -   ,58,,64.01,10.36%,PAVA,Residential
Dhargaythang(Highway With 50meter, -   ,35,,38.63,10.36%,PAVA,Residential
Kencholing Ecr &Below Area(Shompangkha),,17,,18.76,10.36%,PAVA,Residential
Dekiling(School Area),77,77,68.67,84.98,-10.82%,FIAB,Commercial
Dekiling (Gup Office Area),77,58,68.67,,-10.82%,FIAB,Commercial
"Chhokhorling(A) Bhu,&School Area", -   ,87,,96.01,10.36%,PAVA,Residential
Chhokhorling(B) Manidungkhor& Above Area, -   ,69,,76.15,10.36%,PAVA,Residential
Chhokhorling Below  Lhakhang Area, -   ,64,,70.63,10.36%,PAVA,Residential
"Mendigang,Dolongang (Below & Nearby Central Jail & Vti Area)", -   ,78,,86.08,10.36%,PAVA,Residential
JIgmeling  (Ab0ve Highway Industrail area),80,,94.29,,17.86%,FIAB,Commercial 
Jigmeling(Below Highway from BPC Colony to DOR colony), -   ,77,,84.98,10.36%,PAVA,Residential
Gawaithang,,17,,18.76,10.36%,PAVA,Residential
Tsirang-Damphu Town area,525,158,343.57,,-34.56%,FIAB,Commercial 
BOD to high school vicinity and Dratshang area along the road,525,65,166,,-68.38%,FIAB,Commercial 
Changchey Town area,65,15,71.73,,10.36%,PAVA,Commercial 
Mithun,65,30,71.73,,10.36%,PAVA,Commercial 
Dekiling & Menchuna,65,30,61.33,,-5.65%,FIAB,Commercial 
"Tsholingkhar, Dupchugang (along the Road)",,,,,,No Data,
Darjay (Along the road and BPC sub-station area),65,,60.6,,-6.77%,FIAB,Commercial 
Mendaygang developed areas,35,,43.6,,24.57%,FIAB,Commercial 
Dungkhar Chholing,55,,78.12,,42.03%,PAVA,Commercial 
Zhemgang Town Area,58,35,84.78,,46.81%,FIAB,Commercial 
Tingtibi ,42,20,54.5,,29.76%,FIAB,Commercial 
 Panbang,42,20,52,,23.81%,FIAB,Commercial 
Samdrup Jongkhar Town Area( Commercial),600,250,735.71,411.43,22.62%,FIAB (Commercial),commercial and residential
Deothang,100,80,214.29,150.83,114.29%,FIAB (Commercial),commercial and residential
Samdrupcholing (Bangtar),80,20,97,63.33,21.25%,FIAB (Commercial),commercial and residential
Jomotsekha ,50,,50,,0.00%,FIAB,Commercial
Samrang,70,25,30,,-57.14%,FIAB,Commercial
Pemathang,70,25,77.25,,10.36%,PAVA,Commercial
Martshala,30,15,33.11,,10.36%,PAVA,Commercial
Phuntsohthang,70,25,77.25,,10.36%,PAVA,Commercial
Pema Gatshel Town( Existing),116,58,178.33,,54.40%,FIAB,Commercial
New Town plan ( Denchi),70,50,110,56.66,57.14%,FIAB,Residential
Yallang,50,20,50,,0.00%,FIAB,Commercial
Khar (KCPS School area),50,20,50,,0.00%,FIAB,Commercial
Nganglam (core areas),178,85,595.27,,233.80%,PAVA,Commercial
Mongar Town Area,462,231,450,216,-2.60%,FIAB,Residential
Trailling,300,250,216,,-28.00%,FIAB,Commercial
Changshingpeg,250,150,216,,-13.60%,FIAB,Commercial
Gyelposhing,347,200,262.83,171.17,-24.15%,FIAB,Residential
Lingmethang,100,50,115,68.33,15.00%,FIAB,Residential
Kilikhar,100,60,70.83,62.83,-29.17%,FIAB,Residential
Yadi (Developed and commerial area),100,50,72.67,,-27.33%,FIAB,Commercial
Drametse (Developed and commerial area),58,35,58,46,0.43%,FIAB,Commericial 
Chaskhar,20,,22.07,,10.36%,PAVA,Commericial 
Lhuentse Town Area,116,46,119.43,,3.40%,FIAB,Commericial 
Gorgan,120,40,132.43,,10.36%,PAVA,Commericial 
Tangmachu/Takila,115,50,126.91,,10.36%,PAVA,Commericial 
Autsho,58,23,56.33,,-2.46%,FIAB,Commericial 
Trashi Yangtse Town,122,58,228.57,,87.66%,FIAB,Commericial 
Near Ring Road and Higher S.School Area,70,25,100.009,,42.87%,PAVA,Commericial 
Tshenkharala M.S.School Area,70,15,40,,-42.86%,FIAB,Commericial 
Doksum,70,50,140,78,100.00%,FIAB,Commericial 
Kholongchu,150,50,165.54,,10%,FIAB,Commericial 
Trashigang Town Area,462,231,387.43,203.33,-16.14%,FIAB,Commericial 
Kanglung (Developed and commerial area),231,116,228.5,200.2,-1.08%,FIAB,Commericial 
Rangjung (Developed and commerial area),116,58,149.33,101,29.29%,FIAB,Commericial 
Khaling & Wamrong (Developed and commerial area),89,58,163.8,98,83.53%,FIAB,Commericial 
Melphey,,80,,75,-6.25%,FIAB,Commericial 
Rongthong,100,35,77.25,,-22.75%,PAVA,Commericial 
Pam,120,25,113.75,,-5.21%,FIAB,Commericial 
Yonphula ( Commercial areas only),50,30,120.33,,140.66%,FIAB,Commericial 
Wamrong( Commercial areas only),89,53,87.8,,-1.62%,FIAB,Commericial 
Gasa Town,53,23,62.57,22.09,19.18%,FIAB,Commericial 
Mani,15,,16.55,,10.36%,PAVA,Commericial 
Choling,15,,16.55,,10.36%,PAVA,Commericial 
Damji,26,16,50.33,17.09,91.73%,FIAB,Commericial 
Laya & Lungho,15,,16.55,,10.36%,PAVA,Commericial 
Tashithang,15,,16.55,,10.36%,PAVA,Commericial 
