,LOCATION,PRECINCT,SPECIFIC AREA,BOB_2017_RATE,BOB_2021_RATE,%DIFFERENCE,DERIVE_FROM
11,Vinity of Chorten Lam till Chubachu traffic post                                                                                                        ,Heritage Precincts,Dhungkor Lhakang & Thai Tempel ,"2,000","3,526.40",76.32%,PAVA
12,Vinity of Chorten Lam till Chubachu traffic post                                                                                                        ,"Urban Core, Sub-Precinct ii A","Along Gongzin Lam (around 8-eleven), Jangchuk Lam (Swiss bakery, Lee Meredian, Yeedzin), Namgay Heritage area, Behind and beside kelki, Along Phendey Lam, Zorig Lam and Zhenphen Lam","4,030","7,105.70",76.32%,PAVA
13,Vinity of Chorten Lam till Chubachu traffic post                                                                                                        ,"Special Commercial: Urban Core, Sub-Precinct iv",Around Dhondrup Lam (vicinity of Hongkong market and Zangdopelri Complex),"4,500","7,934.40",76.32%,PAVA
14,Vinity of Chorten Lam till Chubachu traffic post                                                                                                        ,"Urban Core, Sub-Precinct 1 A",East of Royal Bolevard (MOEA area and some shop area along the Swimming pool highway),"3,630","6,400.42",76.32%,PAVA
15,Vinity of Chorten Lam till Chubachu traffic post                                                                                                        ,Institutional Precincts,kelki school,"2,000","3,526.40",76.32%,PAVA
16,Chubachu trafic post till dzong area and supreme court area,"Special Institutional: Urban Core, Sub-Precinct 5-rapa colony","Rapa colony, Highcourt area, dzong area and supreme court area including all areas above lanjophaka bridge and  along the RMA building","2,612","4,605.57",76.32%,PAVA
17,Chubachu trafic post till dzong area and supreme court area,Dzong Precinct-Below Highcourt and above chubachu brigde,,, -   ,76.32%,PAVA
18,Changangkha (Above Royal Boulevard till Mothithang) ,"Urban Village, UV 2","Eto meto school area, NPPF colony, Changangkha lhakang, Rinchen kuenphen school, changangkha school, old bangladesh embasy and DHL office area till sunshine school","2,079","4,500.00",116%,FIAB
19,Changangkha (Above Royal Boulevard till Mothithang) ,"Environment conservation, E1 Precincts-Along the stream on North west of chorten","Along the stream on North west of chorten and YDF area and Swimming pool area (Environment conservation, E1 Precincts-Along the stream on North west of chorten)","1,000","1,763.20",76.32%,PAVA
20,Changangkha (Above Royal Boulevard till Mothithang) ,Green space: G2-Precincts-YDF area and Swimming pool area ,Along the stream on North west of chorten and YDF area and Swimming pool area (Green space: G2-Precincts-YDF area and Swimming pool area ),365,643.73,76.32%,PAVA
21,Kawajangsa and lower Mothithang,UrbanVillage:UV 2-I,Above changangkha lhakang till Minister's enclave area and extending towards north ,"1,540","3,500.00",127%,FIAB
22,Upper Mothithang,Urban Village: UV 2-II,Above Minister's enclave area till Youth hostel including Kuengacholing guest house area,"1,320","2,500.00",89%,FIAB
23,Changidhaphu,"Urban Village, UV 2-I",Kalabazaar ,"1,540","2,715.33",76.32%,PAVA
24,Changzamtog and Changbangdu,"Urban Village, UV 2","All area around memorial chorten, JDWNRH, Kuensel office vicinity area till flyover birdge","1,800","3,173.76",76.32%,PAVA
25,Changzamtog and Changbangdu,"Urban Village, UV 3",flyover bridge till chanjiji bridge,"1,155","2,036.50",76.32%,PAVA
26,Changzamtog and Changbangdu,"Urban Village, UV 4",Area below Hindu Temple and kuneselphodrang school,"1,155","2,036.50",76.32%,PAVA
27,Changzamtog and Changbangdu,Endowment for future Precincts,STCBL office and RBP vicinity area,"1,000","1,763.20",76.32%,PAVA
28,YHS area,"Urban Village, UV2-II",Vicinity of YHS,"1,200","2,115.84",76.32%,PAVA
29,YHS area,"Urban Village, UV2-II",Above YHS school till ELC area,700,"1,234.24",76.32%,PAVA
30,Hotel River view area,"UrbanVillage,UV 2-LD",Vicinity of Hotel River View and Jamyang Resort ,924,"1,629.20",76.32%,PAVA
31,Lungtenphu and Simtokha,"Urban Village, UV 2","Along old phuntsholing highway, samarzingkha area and RIM vicinity area",735,"1,295.95",76.32%,PAVA
32,Lungtenphu and Simtokha,Endowment for future Precincts,"RBA HQ, RBA colony ",735,"1,295.95",76.32%,PAVA
33,Lungtenphu and Simtokha,E4,Above Thimphu-Phuntsholing Highway ,525,925.68,76.32%,PAVA
34,Changjiji and Olakha,"UrbanVillage, UV-1",Along Express way starting from chanjiji bridge including chanjiji colony till olarongchu bridge,"1,260","2,221.63",76.32%,PAVA
35,Changjiji and Olakha,"UrbanVillage, UV-2","Areas behind Shere Square, changjalu, changdzongchu",650,"1,146.08",76.32%,PAVA
36,Babesa ,"Urban Village, UV 1 ",Starting from Olarongchu bridge till zero point ,"1,260","2,221.63",76.32%,PAVA
37,Babesa ,"Urban Village, UV 2",Along old Phuntsholing-Thimphu Highway,735,"1,295.95",76.32%,PAVA
38,Babesa ,"Environmental conservation, E4",East of Thimphu-Phuntsholing Highway,525,925.68,76.32%,PAVA
39,Langjophaka,"Urban Village, UV 2 ",Langjophaka,924,"1,629.20",76.32%,PAVA
40,Langjophaka,Dzong Precinct,National Assembly Building,281,494.72,76.32%,PAVA
41,Langjophaka,"Environmantal Precinct, E2",East side hill of Langjophaka,226,399.35,76.32%,PAVA
42,Langjophaka,"Environmantal Precinct, E4",South side hill of Langjophaka,525,925.68,76.32%,PAVA
