"PHUENTSHOLING LAND RATES - REAL ESTATE DIVISION, BANK OF BHUTAN LIMITED",,,,2017,,,
SL. No,Location, Precinct,Specific area, Rate (Nu/sqft) ,New Land Rate 2021,% Change,Derived from
,"All the Automobile workshop Areas, Zimdra Show room, STCBL Office, KMT Press.","Service Centers and Industry, SE-4",,"2,195","1,828.57",-16.69%,FIAB
7,"Phuntsholing Industrial Estate Areas covering pepsi factory area, hospital area and druk polythene area. ","Service Centers and Industry, SE-4","Area covering pepsi factory, hospital area and druk polythene area. ","1,040","1,314.29",26.43%,FIAB
8,Karbreytar & Damdara Areas,"Agri-based Enivronments, E4",Pipaldara,531,655.86,23.44%,FIAB
,Karbreytar & Damdara Areas,"Environmental Conservation, E1",,216,655.86,203.05%,FIAB
,Karbreytar & Damdara Areas,"Urban Village periphery(LD), UV2-Damdera ",Damdara and Karbreytar,531,698.71,31.51%,FIAB
,Karbreytar & Damdara Areas,"Urban Village periphery(HD), UV2",,531,698.71,31.58%,FIAB
,Karbreytar & Damdara Areas,"Neighborhood Node, NN-Karbreytar,Khareyphu, Dokhiya",,531,698.71,31.58%,FIAB
,Karbreytar & Damdara Areas,"Urban Village periphery(LD), UV2",,531,698.71,31.58%,FIAB
9,Rinchending,"Institutional, I-CST, Phajoding PVt school, ","Rinchending check post, Petrol Pump, CST, Phajoding PVt school, Kharpandi Goenpa till RBP colony in the town",721,"1,020.00",41.39%,FIAB
,Rinchending,"Neighborhood Node, NN-Places near Kharpandi Goenpa, Rinchending check post, Petrol Pump",,626,"1,020.00",62.82%,FIAB
,Rinchending,"Heritage, H-Kharpandi Goenpa",,345,"1,020.00",195.45%,FIAB
,Rinchending,"Agri-based Enivronments, E4-Lower Kharpandi",,464,"1,020.00",119.95%,FIAB
,Rinchending,"National Open Green Spaces, G1-Proposed Wild life sancturary",,515,"1,020.00",97.95%,FIAB
10,Toorsa Khola up to the cremation ground,"Urban Village core, UV1-Below Damdera i.e above the Highway",Toorsa Khola up to the cremation ground,"1,152","1,596.00",38.53%,PAVA
,Toorsa Khola up to the cremation ground,"National Open Green Spaces, G1-Theme Park, Tourissm, water sport activites/Satr realted Iconic Hotels",,515,656.72,27.45%,PAVA
,Toorsa Khola up to the cremation ground,"Heritage, H-Cremation Ground",,1000,"1,385.30",38.53%,PAVA
10,Pasakha,"Urban Village periphery(LD), UV2-Gurungdangra, Chengmari",Area starting from Reldri school till edge of Pasakha boundary including all Pasakha industrail estate,675,333.75,-50.56%,FAIB
,Pasakha,"Urban Village periphery(HD), UV2-Towns along the pasakha Chu",,675,333.75,-50.56%,FAIB
,Pasakha,"Agri-based Enivronments, E4-Gurungdangra, Chengmari",,675,333.75,-50.56%,FAIB
,Pasakha,Utility-Substation,,675,333.75,-50.56%,FAIB
,Pasakha,"Neighborhood Node, NN-Malabase",,675,333.75,-50.56%,FAIB
11,Ramitey,"Agri-based Enivronments, E4",Area along the Tphu-Pling Highway starting from Karma TMT till Gykhuri Goenpa,464,344,-25.82%,FAIB
,Ramitey,,Area along Tphu-Pling highwany starting from Rinchenchending check post till Ramitey,464,344,-25.82%,FAIB
12,Gedu,NA,Developed and commerial area with settlement,116,344,197.84%,FAIB
13,Darla,NA,Developed and commerial area with settlement,48,53.83,11.69%,FAIB
14,Tala,NA,Developed and commerial area with settlement,40,53.83,34.58%,FAIB
15,Wangkha,NA,Developed and commerial area with settlement,74,62.33,-15.20%,FIAB
16," Tshimasham, Tshimalakha",NA,Developed and commerial area with settlement,116,96,-16.88%,FIAB
17,Chukha,NA,Developed and commerial area with settlement,116,99.33,-14.37%,FIAB
18,"E1,E2 & E3 ",Within Phuentsholing Thromde,,227,246.55,8.85%,PAVA
19,E4 Precinct,Within Phuentsholing Thromde,,426,537.57,26.22%,PAVA
